City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-07-26 21:30:18,-9.8,-139.0333,78.15,68,43,23.8
1,Arman,RU,2021-07-26 21:30:18,59.7,150.1667,57.79,85,92,6.08
2,Punta Arenas,CL,2021-07-26 21:27:10,-53.15,-70.9167,42.91,75,0,13.8
3,Khatanga,RU,2021-07-26 21:30:18,71.9667,102.5,59.02,67,49,16.8
4,Puerto Ayora,EC,2021-07-26 21:26:31,-0.7393,-90.3518,76.96,84,37,8.01
5,Nagorsk,RU,2021-07-26 21:30:19,59.3172,50.8078,56.07,97,99,8.03
6,Groton,US,2021-07-26 21:27:13,41.3501,-72.0784,89.67,64,1,1.99
7,Touros,BR,2021-07-26 21:30:19,-5.1989,-35.4608,77.9,80,2,11.72
8,Stawell,AU,2021-07-26 21:30:19,-37.05,142.7667,39.4,90,5,8.68
9,Penzance,GB,2021-07-26 21:30:20,50.1186,-5.5371,63.61,85,100,13.91
10,Bambous Virieux,MU,2021-07-26 21:26:49,-20.3428,57.7575,68.25,94,75,12.66
11,Mount Gambier,AU,2021-07-26 21:28:07,-37.8333,140.7667,48.11,76,40,14.97
12,Mar Del Plata,AR,2021-07-26 21:28:39,-38.0023,-57.5575,44.62,67,40,5.99
13,Provideniya,RU,2021-07-26 21:27:27,64.3833,-173.3,48.31,93,90,6.71
14,Dikson,RU,2021-07-26 21:30:21,73.5069,80.5464,37.81,100,100,4.61
15,Cayenne,GF,2021-07-26 21:30:06,4.9333,-52.3333,84.24,79,20,4.0
16,Torbay,CA,2021-07-26 21:30:22,47.6666,-52.7314,64.58,77,75,11.5
17,Rikitea,PF,2021-07-26 21:30:23,-23.1203,-134.9692,74.08,77,89,18.45
18,Bluff,NZ,2021-07-26 21:30:23,-46.6,168.3333,43.81,77,32,18.45
19,Hithadhoo,MV,2021-07-26 21:30:23,-0.6,73.0833,80.22,79,96,8.16
20,Pokhara,NP,2021-07-26 21:30:24,28.2333,83.9833,73.51,89,90,1.83
21,Busselton,AU,2021-07-26 21:26:48,-33.65,115.3333,51.08,73,100,35.5
22,Cape Town,ZA,2021-07-26 21:30:24,-33.9258,18.4232,61.09,48,0,8.05
23,Yellowknife,CA,2021-07-26 21:30:14,62.456,-114.3525,70.32,60,75,1.99
24,Port Alfred,ZA,2021-07-26 21:30:25,-33.5906,26.891,62.42,32,100,10.18
25,Bredasdorp,ZA,2021-07-26 21:30:25,-34.5322,20.0403,55.27,54,100,6.91
26,Ushuaia,AR,2021-07-26 21:30:25,-54.8,-68.3,35.26,80,40,5.75
27,Cherskiy,RU,2021-07-26 21:30:25,68.75,161.3,50.79,55,6,14.38
28,Riyadh,SA,2021-07-26 21:30:02,24.6877,46.7219,96.94,16,92,8.16
29,East London,ZA,2021-07-26 21:30:26,-33.0153,27.9116,64.9,25,100,11.39
30,Isangel,VU,2021-07-26 21:26:32,-19.55,169.2667,73.51,78,75,0.0
31,Kapaa,US,2021-07-26 21:30:26,22.0752,-159.319,86.32,74,1,7.0
32,Jamestown,US,2021-07-26 21:25:52,42.097,-79.2353,83.3,44,20,5.75
33,Hobart,AU,2021-07-26 21:30:27,-42.8794,147.3294,50.22,90,75,1.01
34,Airai,TL,2021-07-26 21:25:30,-8.9266,125.4092,55.26,56,13,3.15
35,Longavi,CL,2021-07-26 21:30:27,-35.9667,-71.6833,45.41,73,7,11.68
36,Pochutla,MX,2021-07-26 21:30:28,15.7432,-96.4661,85.82,73,100,3.24
37,Lebu,CL,2021-07-26 21:30:28,-37.6167,-73.65,47.71,69,7,16.35
38,Mataura,NZ,2021-07-26 21:30:29,-46.1927,168.8643,43.48,94,47,2.77
39,Mahebourg,MU,2021-07-26 21:25:31,-20.4081,57.7,68.29,94,75,12.66
40,Albany,US,2021-07-26 21:29:19,42.6001,-73.9662,85.78,49,0,1.01
41,Port Elizabeth,ZA,2021-07-26 21:30:29,-33.918,25.5701,66.09,27,40,12.66
42,Rocha,UY,2021-07-26 21:25:52,-34.4833,-54.3333,48.29,81,18,9.84
43,Mastic Beach,US,2021-07-26 21:30:29,40.7668,-72.8521,90.21,63,1,1.01
44,Karagay,RU,2021-07-26 21:30:30,58.2667,54.9368,55.63,77,60,9.73
45,Praia,CV,2021-07-26 21:30:30,14.9215,-23.5087,77.54,78,20,9.22
46,Hasaki,JP,2021-07-26 21:28:13,35.7333,140.8333,72.28,94,100,29.37
47,Codrington,AU,2021-07-26 21:30:31,-38.2667,141.9667,47.39,70,17,16.78
48,Cidreira,BR,2021-07-26 21:30:31,-30.1811,-50.2056,61.92,97,100,5.7
49,Beboto,TD,2021-07-26 21:30:31,8.2668,16.939,71.04,96,100,1.77
50,Bethel,US,2021-07-26 21:30:32,41.3712,-73.414,88.72,55,1,5.75
51,Tuatapere,NZ,2021-07-26 21:27:27,-46.1333,167.6833,43.83,90,59,4.81
52,Ayan,RU,2021-07-26 21:30:32,56.45,138.1667,66.96,65,3,9.51
53,Bang Rakam,TH,2021-07-26 21:30:32,16.7585,100.1174,81.05,89,99,1.83
54,Ostrovnoy,RU,2021-07-26 21:30:33,68.0531,39.5131,46.31,85,100,23.06
55,Taoudenni,ML,2021-07-26 21:30:33,22.6783,-3.9836,103.37,8,0,6.67
56,Komsomolskiy,UZ,2021-07-26 21:30:33,40.4272,71.7189,83.12,30,3,9.22
57,Butaritari,KI,2021-07-26 21:30:34,3.0707,172.7902,82.45,74,93,6.96
58,Arraial Do Cabo,BR,2021-07-26 21:28:01,-22.9661,-42.0278,71.56,78,0,14.97
59,Hailar,CN,2021-07-26 21:30:34,49.2,119.7,60.24,99,89,3.78
60,Ancud,CL,2021-07-26 21:30:35,-41.8697,-73.8203,45.93,73,63,7.61
61,Carnarvon,AU,2021-07-26 21:30:35,-24.8667,113.6333,68.07,79,90,13.8
62,Pevek,RU,2021-07-26 21:30:35,69.7008,170.3133,36.95,87,93,14.52
63,Nikolskoye,RU,2021-07-26 21:30:36,59.7035,30.7861,66.09,68,12,2.39
64,Ashqelon,IL,2021-07-26 21:30:36,31.6693,34.5715,82.81,77,0,6.69
65,Narsaq,GL,2021-07-26 21:30:36,60.9167,-46.05,55.17,69,20,4.68
66,Cabo San Lucas,MX,2021-07-26 21:30:37,22.8909,-109.9124,99.52,66,20,5.75
67,Canutama,BR,2021-07-26 21:30:37,-6.5339,-64.3831,88.54,42,65,1.01
68,Puerto Ayacucho,VE,2021-07-26 21:30:38,5.6639,-67.6236,75.79,91,100,1.81
69,Sisimiut,GL,2021-07-26 21:30:38,66.9395,-53.6735,58.77,62,55,7.4
70,Tomatlan,MX,2021-07-26 21:25:55,19.9333,-105.25,90.48,60,89,9.84
71,Ribeira Grande,PT,2021-07-26 21:30:38,38.5167,-28.7,70.86,89,9,14.2
72,Victoria,HK,2021-07-26 21:30:22,22.2855,114.1577,87.33,84,96,1.01
73,Grindavik,IS,2021-07-26 21:30:39,63.8424,-22.4338,50.47,87,75,8.05
74,Comodoro Rivadavia,AR,2021-07-26 21:30:39,-45.8667,-67.5,44.46,70,40,13.8
75,Moranbah,AU,2021-07-26 21:30:40,-22.0016,148.0466,55.58,66,1,7.9
76,Moron,AR,2021-07-26 21:30:40,-34.6534,-58.6198,56.95,44,71,1.01
77,Houma,US,2021-07-26 21:30:40,29.5958,-90.7195,93.99,69,40,8.05
78,Estevan,CA,2021-07-26 21:30:40,49.1334,-102.9842,86.34,37,1,13.8
79,Missoula,US,2021-07-26 21:30:41,47.0166,-113.8009,84.85,18,77,4.92
80,Saskylakh,RU,2021-07-26 21:30:41,71.9167,114.0833,51.04,75,55,4.65
81,Ondo,NG,2021-07-26 21:30:42,7.1,4.8333,69.57,93,99,3.6
82,Tabou,CI,2021-07-26 21:30:42,4.423,-7.3528,76.41,76,100,9.55
83,Grand Gaube,MU,2021-07-26 21:30:42,-20.0064,57.6608,68.4,85,35,5.01
84,Kodiak,US,2021-07-26 21:30:42,57.79,-152.4072,62.11,67,40,6.91
85,Dwarka,IN,2021-07-26 21:30:43,22.2394,68.9678,82.38,85,100,20.38
86,Meridian,US,2021-07-26 21:30:11,43.6121,-116.3915,102.85,21,1,11.5
87,Esperance,AU,2021-07-26 21:30:43,-33.8667,121.9,55.24,65,41,30.53
88,Mount Isa,AU,2021-07-26 21:28:07,-20.7333,139.5,40.77,65,89,0.0
89,Boa Vista,BR,2021-07-26 21:30:44,2.8197,-60.6733,87.78,55,75,4.61
90,Geraldton,AU,2021-07-26 21:30:44,-28.7667,114.6,65.12,82,75,24.16
91,Kiama,AU,2021-07-26 21:30:45,-34.6833,150.8667,56.25,70,82,7.0
92,Vao,NC,2021-07-26 21:30:45,-22.6667,167.4833,67.95,60,100,16.89
93,Ilulissat,GL,2021-07-26 21:30:45,69.2167,-51.1,55.42,50,20,19.57
94,Yumen,CN,2021-07-26 21:30:46,40.2833,97.2,73.56,24,21,9.4
95,Sinop,TR,2021-07-26 21:30:46,41.7711,34.8709,64.8,86,100,5.64
96,Santa Helena De Goias,BR,2021-07-26 21:30:46,-17.8136,-50.5969,75.76,29,0,4.21
97,Talcahuano,CL,2021-07-26 21:30:47,-36.7167,-73.1167,53.28,58,0,14.97
98,Aklavik,CA,2021-07-26 21:30:47,68.2191,-135.0107,62.6,67,90,3.44
99,Thompson,CA,2021-07-26 21:26:35,55.7435,-97.8558,69.96,28,20,8.05
100,Casper,US,2021-07-26 21:30:47,42.8666,-106.3131,97.02,18,1,3.0
101,Leningradskiy,RU,2021-07-26 21:30:48,69.3833,178.4167,41.58,80,65,6.42
102,Livingstonia,MW,2021-07-26 21:30:48,-10.606,34.1063,52.32,72,1,4.83
103,Salinas,US,2021-07-26 21:29:56,36.6777,-121.6555,89.42,67,1,12.66
104,Hilo,US,2021-07-26 21:30:49,19.7297,-155.09,78.53,89,90,10.36
105,Lavrentiya,RU,2021-07-26 21:30:49,65.5833,-171.0,45.3,98,100,3.8
106,Nadym,RU,2021-07-26 21:30:49,65.5333,72.5167,47.41,75,57,5.55
107,Vagay,RU,2021-07-26 21:30:50,57.9375,69.0217,51.13,81,57,4.25
108,Husavik,IS,2021-07-26 21:30:50,66.0449,-17.3389,53.51,75,85,4.59
109,Tasiilaq,GL,2021-07-26 21:30:50,65.6145,-37.6368,50.16,87,47,2.44
110,Urengoy,RU,2021-07-26 21:30:51,65.9667,78.3667,48.2,97,100,18.01
111,Tautira,PF,2021-07-26 21:30:51,-17.7333,-149.15,82.42,75,45,8.32
112,Iqaluit,CA,2021-07-26 21:26:32,63.7506,-68.5145,51.53,76,20,8.01
113,Georgetown,MY,2021-07-26 21:30:15,5.4112,100.3354,82.89,85,20,1.14
114,Hami,CN,2021-07-26 21:30:52,42.8,93.45,83.19,21,5,12.59
115,Tommot,RU,2021-07-26 21:30:52,58.9564,126.2925,61.48,84,87,3.2
116,Nemuro,JP,2021-07-26 21:27:20,43.3236,145.575,60.21,99,100,14.47
117,Lompoc,US,2021-07-26 21:30:52,34.6391,-120.4579,77.02,85,100,8.05
118,La Primavera,CO,2021-07-26 21:30:53,5.4906,-70.4092,80.8,77,69,1.48
119,Aykhal,RU,2021-07-26 21:30:53,66.0,111.5,75.2,51,14,2.91
120,Stephenville,US,2021-07-26 21:30:19,32.2207,-98.2023,98.94,33,1,0.0
121,Hermanus,ZA,2021-07-26 21:30:53,-34.4187,19.2345,55.8,62,35,5.95
122,Qaanaaq,GL,2021-07-26 21:30:54,77.484,-69.3632,42.04,71,100,7.61
123,San Lawrenz,MT,2021-07-26 21:30:54,36.0553,14.204,79.86,76,0,1.99
124,Burns Lake,CA,2021-07-26 21:28:27,54.2331,-125.7533,56.62,57,72,4.38
125,Upernavik,GL,2021-07-26 21:30:54,72.7868,-56.1549,45.5,74,100,0.6
